RUNNER_UP_PARTY,SILVER
"INDIAN NATIONAL CONGRESS",224
"BHARATIYA JANATA PARTY",54
"BAHUJAN SAMAJ PARTY",36
"SAMAJWADI PARTY",31
"COMMUNIST PARTY OF INDIA (MARXIST)",30
"DRAVIDA MUNNETRA KAZHAGAM",27
"RASHTRIYA JANATA DAL",22
"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",17
"NATIONALIST CONGRESS PARTY",17
INDEPENDENT,9
"AAM AADMI PARTY",9
"TELUGU DESAM",8
"COMMUNIST PARTY OF INDIA",6
"JANATA DAL (UNITED)",4
"JAMMU & KASHMIR NATIONAL CONFERENCE",3
"ALL INDIA TRINAMOOL CONGRESS",3
"INDIAN NATIONAL LOK DAL",3
"SHIROMANI AKALI DAL",3
"ALL INDIA FORWARD BLOC",3
"REVOLUTIONARY SOCIALIST PARTY",3
"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",2
"VIDUTHALAI CHIRUTHAIGAL KATCHI",2
SHIVSENA,2
"TELANGANA RASHTRA SAMITHI",2
"JANATA DAL (SECULAR)",2
"COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)",1
"NATIONAL PEOPLES PARTY",1
"RASHTRIYA SAMAJ PAKSHA",1
"PUTHIYA TAMILAGAM",1
"JHARKHAND VIKAS MORCHA (PRAJATANTRIK)",1
"BIJU JANATA DAL",1
"SOCIALIST JANATA (DEMOCRATIC)",1
"NAGA PEOPLES FRONT",1
"PEASANTS AND WORKERS PARTY OF INDIA",1
"RASHTRIYA LOK DAL",1
"JAI BHARAT SAMANTA PARTY",1
"SIKKIM KRANTIKARI MORCHA",1
"LOK JAN SHAKTI PARTY",1
"DESIYA MURPOKKU DRAVIDA KAZHAGAM",1
"JHARKHAND PARTY",1
"MANITHANEYA MAKKAL KATCHI",1
"JHARKHAND MUKTI MORCHA",1
"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",1
"HARYANA JANHIT CONGRESS (BL)",1
"BAHUJAN VIKAS AAGHADI",1
"SWABHIMANI PAKSHA",1
