SAFE_CANDIDATE,SAFE_CANDIDATES_PARTY,SAFE_CANDIDATES_CONSTITUENCY,SAFE_CANDIDATES_VOTES,WINNING_CANDIDATE,WINNING_CANDIDATES_PARTY,WINNING_CANDIDATES_CONSTITUENCY,WINNING_CANDIDATES_VOTES
"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",GHAZIABAD,758482,"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",GHAZIABAD,758482
"NARENDRA MODI","BHARATIYA JANATA PARTY",VADODARA,845464,"NARENDRA MODI","BHARATIYA JANATA PARTY",VADODARA,845464
"NARENDRA MODI","BHARATIYA JANATA PARTY",VARANASI,581022,"NARENDRA MODI","BHARATIYA JANATA PARTY",VARANASI,581022
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",AZAMGARH,340306,"MULAYAM SINGH YADAV","SAMAJWADI PARTY",AZAMGARH,340306
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",MAINPURI,595918,"MULAYAM SINGH YADAV","SAMAJWADI PARTY",MAINPURI,595918
"BHOLA SINGH","BHARATIYA JANATA PARTY",BEGUSARAI,428227,"BHOLA SINGH","BHARATIYA JANATA PARTY",BEGUSARAI,428227
"BHOLA SINGH","BHARATIYA JANATA PARTY",BULANDSHAHR,604449,"BHOLA SINGH","BHARATIYA JANATA PARTY",BULANDSHAHR,604449
"SUTHARAPU PADMAIAH","ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY",CHELVELLA,2214,NULL,NULL,NULL,NULL
"SANJAY KUMAR","BAHUJAN SAMAJ PARTY",CHITTORGARH,4467,NULL,NULL,NULL,NULL
"THAKUR HEMENDRA VEER SINGH","SARVA SAMAJ KALYAN PARTY",MATHURA,1858,NULL,NULL,NULL,NULL
"ARVIND KUMAR","AAM AADMI PARTY",UNNAO,4214,NULL,NULL,NULL,NULL
"A.K. AGGARWAL","AGAR JAN PARTY","NORTH EAST DELHI",3191,NULL,NULL,NULL,NULL
"SANJAY KUMAR","BAHUJAN SAMAJ PARTY",NALANDA,23595,NULL,NULL,NULL,NULL
"ASHOK SINGH","INDIAN NATIONAL CONGRESS",GWALIOR,413097,NULL,NULL,NULL,NULL
"SUNIL KUMAR","AAM AADMI PARTY",BAREILLY,3703,NULL,NULL,NULL,NULL
"ASHOK SINGH","INDIAN NATIONAL CONGRESS","AMBEDKAR NAGAR",22775,NULL,NULL,NULL,NULL
"HAREKRISHNA SARKAR","REPUBLICAN PARTY OF INDIA (A)","COOCH BEHAR",5796,NULL,NULL,NULL,NULL
"ASHOK KUMAR","BAHUJAN SAMAJ PARTY",KOTA,10862,NULL,NULL,NULL,NULL
"ARVIND KUMAR","AAM AADMI PARTY",AKBARPUR,7914,NULL,NULL,NULL,NULL
"SUTHARAPU PADMAIAH","ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY",MALKAJGIRI,538,NULL,NULL,NULL,NULL
"DINESH KUMAR","BAHUJAN MUKTI PARTY",KARAKAT,2359,NULL,NULL,NULL,NULL
"JASWANT SINGH","BAHUJAN MUKTI PARTY",SANGRUR,1556,NULL,NULL,NULL,NULL
"DINESH KUMAR","BAHUJAN MUKTI PARTY",KHERI,2861,NULL,NULL,NULL,NULL
"VINOD KUMAR","BAHUJAN MUKTI PARTY",BAHRAICH,3719,NULL,NULL,NULL,NULL
"HAREKRISHNA SARKAR","REPUBLICAN PARTY OF INDIA (A)",JALPAIGURI,7636,NULL,NULL,NULL,NULL
"SUNIL KUMAR","AAM AADMI PARTY",BEGUSARAI,8639,NULL,NULL,NULL,NULL
"ASHOK KUMAR","BAHUJAN SAMAJ PARTY",JAMMU,31199,NULL,NULL,NULL,NULL
"VINOD KUMAR","BAHUJAN MUKTI PARTY",NAGINA,852,NULL,NULL,NULL,NULL
"THAKUR HEMENDRA VEER SINGH","SARVA SAMAJ KALYAN PARTY",ETAH,2034,NULL,NULL,NULL,NULL
"JASWANT SINGH","BAHUJAN MUKTI PARTY",AKBARPUR,1037,NULL,NULL,NULL,NULL
"A.K. AGGARWAL","AGAR JAN PARTY",VARANASI,2037,NULL,NULL,NULL,NULL
"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",MADHEPURA,252534,NULL,NULL,NULL,NULL
